year,hdb_resale_transactions,agent_engagements,seller_rep_records,buyer_rep_records,months_observed,agent_engagements_per_100_resales,seller_rep_records_per_100_resales,buyer_rep_records_per_100_resales
2017,20509,31162,18670,12492,12,151.94304939294943,91.03320493441903,60.9098444585304
2018,21561,35674,22405,13269,12,165.4561476740411,103.91447520986968,61.54167246417141
2019,22186,30461,19407,11054,12,137.29829622284325,87.47408275489047,49.82421346795276
2020,23333,32524,20421,12103,12,139.3905627223246,87.51982171173874,51.87074101058586
2021,29087,43978,26976,17002,12,151.19469178670883,92.7424622683673,58.452229518341525
2022,26720,41606,25122,16484,12,155.71107784431138,94.01946107784431,61.691616766467064
2023,25754,39191,23326,15865,12,152.1744195076493,90.57233827754911,61.60208123010018
2024,27832,42646,25037,17609,12,153.22650186835298,89.95760275941362,63.268899108939344
2025,25085,39733,23489,16244,12,158.39346222842337,93.63763205102651,64.75583017739686
2026,12245,14837,8965,5872,6,121.16782360146998,73.2135565536954,47.9542670477746
