town_clean,2017,2025,change_per_100_resales
BUKIT TIMAH,150.87719298245614,122.22222222222223,-28.65497076023391
CLEMENTI,158.9041095890411,145.47101449275362,-13.433095096287474
CENTRAL AREA,147.8021978021978,134.88372093023256,-12.918476871965254
BEDOK,161.49825783972125,154.7638773819387,-6.7343804577825495
HOUGANG,159.28571428571428,153.16070068545315,-6.125013600261127
ANG MO KIO,157.21868365180467,153.14109165808446,-4.077591993720205
SERANGOON,150.69767441860463,146.76616915422886,-3.9315052643757724
BISHAN,141.70403587443948,138.29787234042556,-3.4061635340139276
SENGKANG,162.3207301173403,160.68241469816275,-1.6383154191775589
BUKIT MERAH,138.2388419782871,137.83494105037514,-0.4039009279119625
TAMPINES,160.58506543494997,163.24830817282665,2.6632427378766863
YISHUN,165.47334924423228,169.05460951262478,3.581260268392498
TOA PAYOH,125.90120160213618,131.7027281279398,5.8015265258036095
BUKIT PANJANG,153.02593659942363,159.3984962406015,6.372559641177872
BUKIT BATOK,158.0163043478261,164.7239263803681,6.7076220325420195
SEMBAWANG,157.71428571428572,165.07136859781696,7.357082883531234
WOODLANDS,159.56890920966688,170.36613272311212,10.797223513445232
CHOA CHU KANG,157.71144278606965,168.64654333008764,10.935100544017985
KALLANG/WHAMPOA,131.11432706222865,142.82115869017633,11.706831627947679
PASIR RIS,148.7220447284345,163.5646687697161,14.842624041281596
JURONG WEST,151.7283950617284,167.0647391577624,15.336344096033997
GEYLANG,127.86596119929455,147.10485133020345,19.2388901309089
MARINE PARADE,117.74193548387098,137.6543209876543,19.912385503783327
JURONG EAST,142.66958424507658,163.2780082987552,20.60842405367862
QUEENSTOWN,133.01707779886146,154.87603305785126,21.858955258989795
PUNGGOL,144.90881458966564,167.88036410923277,22.971549519567134
