vehicle_class,base_month,base_bidding_no,quota_increment,scenario_quota,assumed_bids_received,scenario_bid_to_quota,predicted_premium,price_change_vs_base,price_change_pct_vs_base,quota_change_pct_vs_base,model_based_elasticity
Category A,2026-06,2,0,1251,1768,1.413269384492406,123182.63205019568,0.0,0.0,0.0,
Category A,2026-06,2,50,1301,1768,1.3589546502690237,122252.92507183163,-929.7069783640472,-0.7547386858767565,3.996802557953637,-0.1888356192063645
Category A,2026-06,2,100,1351,1768,1.308660251665433,121274.68198166529,-1907.9500685303938,-1.5488791210054056,7.993605115907274,-0.19376477803777625
Category A,2026-06,2,200,1451,1768,1.2184700206753962,119192.65753283227,-3989.9745173634146,-3.2390723034214273,15.987210231814547,-0.2026039725790103
Category A,2026-06,2,300,1551,1768,1.1399097356544166,116970.22879659844,-6212.4032535972365,-5.043246073087434,23.980815347721823,-0.21030336124774598
Category A,2026-06,2,500,1751,1768,1.0097087378640777,112200.38070343668,-10982.251346759003,-8.915421893472649,39.96802557953637,-0.2230638557746857
Category A,2026-06,2,800,2051,1768,0.8620185275475378,107749.72635246709,-15432.905697728595,-12.528475354739815,63.94884092725819,-0.1959140333597439
Category B,2026-06,2,0,883,1202,1.3612684031710078,124972.42512117929,0.0,0.0,0.0,
Category B,2026-06,2,50,933,1202,1.2883172561629153,123518.98712696786,-1453.437994211432,-1.1630069535756455,5.662514156285391,-0.205387028001459
Category B,2026-06,2,100,983,1202,1.2227873855544251,121975.95464734238,-2996.4704738369037,-2.3977053105366095,11.325028312570781,-0.21171737892038264
Category B,2026-06,2,200,1083,1202,1.1098799630655587,118670.74306587377,-6301.682055305515,-5.042458005592114,22.650056625141563,-0.22262452094689184
Category B,2026-06,2,300,1183,1202,1.0160608622147083,115135.08482503174,-9837.340296147551,-7.871608706167614,33.975084937712346,-0.2316876829182001
Category B,2026-06,2,500,1383,1202,0.8691250903832248,110804.89539971133,-14167.52972146796,-11.336524603511887,56.62514156285391,-0.2002030244980199
Category B,2026-06,2,800,1683,1202,0.7142008318478906,105578.59971461445,-19393.825406564836,-15.518483687709228,90.60022650056625,-0.1712852637030906
